posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,lat,long
2020-02-23 21:16, (Harrison Township / Natrona Heights),40.642100;-79.727300,2 BEDROOM TOWNHOUSE – NEW RENOVATION – Natrona Heights,2,,https://pittsburgh.craigslist.org/apa/d/natrona-heights-2-bedroom-townhouse-new/7073887247.html,695,40.6421,-79.7273
2020-02-23 21:13, (Bellevue),40.505300;-80.068500,Remodled  Victorian duplex,1,,https://pittsburgh.craigslist.org/apa/d/pittsburgh-remodled-victorian-duplex/7081189439.html,650,40.5053,-80.0685
2020-02-23 21:03, (Southside slopes),40.425400;-79.979900,825.00 -WOW 2 bedroom on the slopes,2,1000.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-wow-2-bedroom-on-the-slopes/7081185559.html,825,40.4254,-79.9799
2020-02-23 20:55, (Cranberry Township),40.695370;-80.122841,4 bedroom 1.5 bath,,,https://pittsburgh.craigslist.org/apa/d/cranberry-township-4-bedroom-15-bath/7081182283.html,1525,40.695370000000004,-80.12284100000001
2020-02-23 20:51," (Mathias, WV)",38.874400;-78.881400,Getaway Home,,,https://pittsburgh.craigslist.org/reo/d/mathias-getaway-home/7081178464.html,0,38.8744,-78.8814
2020-02-23 20:50, (Oakland),40.437312;-79.954360,Four bedroom Apartment Available August 1st!,4,500.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-four-bedroom-apartment/7078628083.html,2300,40.437312,-79.95436
2020-02-23 20:50, (Pittsburgh (East Liberty) PA),40.472300;-79.913200,Looking For A Great Property In A Great Location?,3,,https://pittsburgh.craigslist.org/reo/d/pittsburgh-looking-for-great-property/7081162969.html,125000,40.4723,-79.9132
2020-02-23 20:42, (Arnold HILL),40.582312;-79.761150,....Double car GARAGE for STORAGE....,,470.0,https://pittsburgh.craigslist.org/prk/d/new-kensington-double-car-garage-for/7073856187.html,125,40.582312,-79.76115
2020-02-23 16:34, (Arnold HILL),40.582312;-79.761150,....Double car GARAGE for STORAGE....,,470.0,https://pittsburgh.craigslist.org/prk/d/new-kensington-double-car-garage-for/7073443669.html,125,40.582312,-79.76115
2020-02-23 20:34, (Pittsburgh Pa.),40.436569;-80.057876,3 Crotzer Ave,3,,https://pittsburgh.craigslist.org/apa/d/pittsburgh-3-crotzer-ave/7067561309.html,1100,40.436569,-80.05787600000001
