,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,lat,long,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,Coordinates,nearest_shuttle_stop,nearest_restaurants
4,2020-02-23 21:03, (Southside slopes),40.425400;-79.979900,825.00 -WOW 2 bedroom on the slopes,2,1000.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-wow-2-bedroom-on-the-slopes/7081185559.html,825,40.4254,-79.9799,4878.0,1883.0,525.0,3868.0,1041.0,125.0,POINT (192224311.9448687 -20090708.57127048),"('PTC-Pittsburgh Technology Center', 'PTC', 60.813855206305945)","[(""Piper's Pub"", 2.6413557996540664, 4.5), ('Fat Heads Saloon', 2.7099684955841554, 4.0), ('The Pub Chip Shop', 2.844552739413841, 4.5), ('Carmi Soul Food', 2.8514045549632074, 4.0), ('Primanti Bros', 3.039505090818897, 3.5)]"
8,2020-02-23 20:50, (Oakland),40.437312;-79.954360,Four bedroom Apartment Available August 1st!,4,500.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-four-bedroom-apartment/7078628083.html,2300,40.437312,-79.95436,2158.0,814.0,682.0,5127.0,1499.0,803.0,POINT (191914870.481474 -19990338.1019975),"('Bigelow Blvd. at Forbess Avenue', 'BS', 4.600258010356194)","[('Mad Mex - Oakland', 0.7528992644081397, 3.5), ('The Original Gyro', 0.764208643064943, 4.0), ('Ocha Thai Noodle', 0.9057609479029439, 4.0), ('Panther House Bar & Grill', 1.106318838364735, 3.0), ('Korea Garden', 1.522416833941906, 3.5)]"
28,2020-02-23 20:26, (Pittsburgh),40.444000;-79.955200,3 BR- 3374 Parkview Ave,3,1540.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-3-br-parkview-ave/7081169707.html,1100,40.444,-79.9552,1284.0,398.0,234.0,4856.0,1044.0,74.0,POINT (191928632.4943622 -19978404.2797652),"('Bigelow Blvd. at Forbess Avenue', 'BS', 5.610394320176541)","[('Bridges Restaurant', 2.6198702729160006, 2.5), ('Sichuan Gourmet', 3.4044725358869727, 4.0), ('Las Palmas', 3.4481396820662114, 4.5), ('Bangal Kabab House and Restaurant', 3.494970975862204, 4.0), ('Pgh Crepes', 3.5247001955981627, 3.5)]"
35,2020-02-23 20:00, (Highland Park),40.474268;-79.925473,Accepting Apps for Summer Now! Modern 2BR w/Utilities Included,2,900.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-accepting-apps-for-summer/7081158218.html,1325,40.474268,-79.925473,5000.0,1542.0,536.0,9652.0,2030.0,19.0,POINT (191578354.7382874 -19826872.7615149),"('Centre Avenue at Trade Street', 'AB', 10.513774321318515)","[('KaFair Cafe', 7.5615008123385685, 5.0), (""Wallace's Whiskey Room + Kitchen"", 8.455628513010629, 3.0), ('MR Bulgogi', 8.500314490359314, 4.5), ('honeygrow', 9.290891323919725, 4.0), ('Bird On The Run', 9.447994621036498, 4.5)]"
45,2020-02-23 19:33, (Shadyside / S. Aiken Ave @ Centre Ave),40.455626;-79.938154,★Available May 1--Near Campus--AC--ALL Utilities Included!★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-may-1-near-campus/7081092434.html,1260,40.455626,-79.938154,2151.0,1257.0,66.0,6393.0,1359.0,66.0,POINT (191724657.6624874 -19903744.76160999),"('Centre Avenue at South Aiken Avenue', 'A', 1.7441278513504588)","[('BFG Café', 6.541088706240581, 4.0), ('Selamis Turkish Kebab House', 6.690457440980295, 4.5), ('Nak Won Garden', 7.105895691488726, 3.5), ('Spork Pit', 8.808274436986828, 3.5), ('Friendship Perk and Brew', 10.588769042746728, 4.5)]"
47,2020-02-23 17:08, (Shadyside / S. Aiken Ave @ Centre Ave),40.455479;-79.938122,★Available June 1--Pet Friendly--AC--ALL Utilities Included!★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-june-1-pet/7081010854.html,1260,40.455479,-79.93812199999999,2167.0,1268.0,82.0,6409.0,1370.0,82.0,POINT (191724189.4672168 -19903967.54339289),"('Centre Avenue at South Aiken Avenue', 'A', 1.8778340784304624)","[('Selamis Turkish Kebab House', 6.581425924564085, 4.5), ('BFG Café', 6.593483402702531, 4.0), ('Nak Won Garden', 6.992814935949764, 3.5), ('Spork Pit', 8.792800137744374, 3.5), ('Friendship Perk and Brew', 10.741642693123836, 4.5)]"
49,2020-02-23 16:10, (Shadyside / S. Aiken Ave @ Centre Ave),40.455609;-79.938101,★Available NOW--ALL Utilities Included!--Shopping Nearby--AC★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-all-utilities/7080964033.html,1365,40.455609,-79.938101,2154.0,1259.0,69.0,6396.0,1361.0,69.0,POINT (191723997.3276178 -19903627.12769391),"('Centre Avenue at South Aiken Avenue', 'A', 1.9484581839961082)","[('BFG Café', 6.484824845797273, 4.0), ('Selamis Turkish Kebab House', 6.489441096168825, 4.5), ('Nak Won Garden', 6.903671440462212, 3.5), ('Spork Pit', 8.673677473187471, 3.5), ('Friendship Perk and Brew', 10.780187674217162, 4.5)]"
51,2020-02-23 14:40, (Shadyside / S. Aiken Ave @ Centre Ave),40.455764;-79.938251,★Available NOW--Near Shopping--AC--Heat Included!--Pet Friendly★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-near-shopping/7080962658.html,1260,40.455764,-79.938251,2133.0,1245.0,48.0,6375.0,1347.0,48.0,POINT (191725920.5444352 -19903730.38555795),"('Centre Avenue at South Aiken Avenue', 'A', 1.3649535440663205)","[('BFG Café', 6.5930111999511025, 4.0), ('Selamis Turkish Kebab House', 7.05098198094685, 4.5), ('Nak Won Garden', 7.47077536280214, 3.5), ('Spork Pit', 9.012160500770188, 3.5), ('Friendship Perk and Brew', 10.209883593949398, 4.5)]"
53,2020-02-23 16:15, (Shadyside / S. Aiken Ave @ Centre Ave),40.455617;-79.938111,★ALL Utilities Included!--Pet Friendly--AC--HW Floors--Avail August 1★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included-pet/7080961846.html,1365,40.455617,-79.93811099999999,2153.0,1259.0,68.0,6395.0,1361.0,68.0,POINT (191724124.3546265 -19903639.02508711),"('Centre Avenue at South Aiken Avenue', 'A', 1.9096247210038386)","[('BFG Café', 6.491929438448566, 4.0), ('Selamis Turkish Kebab House', 6.526938181953765, 4.5), ('Nak Won Garden', 6.9415192106375265, 3.5), ('Spork Pit', 8.69654762951238, 3.5), ('Friendship Perk and Brew', 10.742741093232745, 4.5)]"
55,2020-02-23 15:32, (Shadyside / S. Aiken Ave @ Centre Ave),40.455462;-79.938090,★Available August 1--Shopping Nearby--AC--ALL Utils Incld!--HW Floors★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-august-1-shopping/7080961107.html,1260,40.455462,-79.93809,2167.0,1268.0,82.0,6409.0,1370.0,82.0,POINT (191723787.3521791 -19903910.99216557),"('Centre Avenue at South Aiken Avenue', 'A', 2.0014903583595665)","[('Selamis Turkish Kebab House', 6.461099233245853, 4.5), ('BFG Café', 6.565817619433308, 4.0), ('Nak Won Garden', 6.871491472877028, 3.5), ('Spork Pit', 8.716189138753085, 3.5), ('Friendship Perk and Brew', 10.858833969229886, 4.5)]"
