lat,long,name,route
40.445418,-79.942714,Morewood Gardens Turn-around,A
40.4445119,-79.9478159,4615 Forbes Avenue,A
40.4456646,-79.9503605,South Dithridge at Filmore Street,A
40.4468548,-79.9505544,North Dithridge at Fifth Avenue,A
40.44898,-79.951796,North Dithridge Street at Bayard Street ,A
40.451474,-79.953287,North Dithridge Street at Centre Avenue,A
40.452211,-79.950871,Centre Avenue at Melwood Avenue,A
40.452548,-79.949838,Centre Avenue at North Neville Street,A
40.4534709,-79.9464529,Centre Avenue at Devonshire Street,A
40.4540437,-79.9445085,Centre Avenue at Morewood Avenue,A
40.454993,-79.941502,Centre Avenue at Cypress Street,A
40.45586,-79.938605,Centre Avenue at South Aiken Avenue,A
40.456493,-79.93647,Centre Avenue at South Graham Street,A
40.457005,-79.934614,Centre Avenue at South Negley Avenue,A
40.454738,-79.932597,South Negley Avenue at Ellsworth Avenue,A
40.453425,-79.931816,South Negley Avenue at Elmer Street,A
40.452074,-79.931003,South Negley Avenue at Walnut Street,A
40.451215,-79.930499,South Negley Avenue at Howe Street,A
40.449833,-79.929697,South Negley Avenue at Fifth Avenue,A
40.448941,-79.93254,Fifth Avenue at Bellfonte Street,A
40.448431,-79.934195,Fifth Avenue at South Aiken Avenue,A
40.447839,-79.937092,Fifth Avenue at Wilkins Avenue,A
40.445559,-79.942768,Morewood Gardens Turn-around,B
40.4477657,-79.9372052,Fifth Avenue at Wilkins Avenue,B
40.448463600000004,-79.9341795,Fifth Avenue at South Aiken Avenue,B
40.44884780000001,-79.9325909,Fifth Avenue at Bellefonte Street,B
40.451111,-79.930236,South Negley at Howe Street,B
40.451976,-79.93070800000001,South Negley Avenue at Walnut Street,B
40.453348,-79.931567,South Negely Avenue and Elmer Street,B
40.45463,-79.932436,South Negely Avenue at Ellsworth Avenue,B
40.456509,-79.933514,South Negley Avenue at East Busway,B
40.4582849,-79.9337849,South Negley @ Baum Blvd.,B
40.4588874,-79.929051,Centre Avenue at South Euclid Avenue ,B
40.459518,-79.926438,Centre Avenue at Trade Street (near Walgreens),B
