location,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown
40.642100;-79.727300,42407.0,5753.0,936.0,47280.0,5380.0,936.0
40.505300;-80.068500,17397.0,4093.0,756.0,11741.0,2374.0,756.0
40.425400;-79.979900,4878.0,1883.0,525.0,3868.0,1041.0,125.0
40.437312;-79.954360,2158.0,814.0,682.0,5127.0,1499.0,803.0
40.472300;-79.913200,5096.0,1569.0,632.0,10597.0,2424.0,632.0
40.436569;-80.057876,15540.0,2460.0,1133.0,8798.0,1684.0,1133.0
40.444000;-79.955200,1284.0,398.0,234.0,4856.0,1044.0,74.0
40.421086;-79.929540,4411.0,967.0,173.0,10270.0,2056.0,173.0
40.579566;-79.764370,42833.0,8566.0,3725.0,37177.0,7347.0,3725.0
40.474268;-79.925473,5000.0,1542.0,536.0,9652.0,2030.0,19.0
40.433142;-79.952079,2695.0,1224.0,1219.0,5267.0,1841.0,1305.0
40.352700;-79.889500,18421.0,3685.0,590.0,18307.0,2605.0,590.0
40.369524;-79.975603,17693.0,3874.0,35.0,11679.0,2073.0,35.0
40.310790;-79.897299,26548.0,5281.0,879.0,30544.0,4917.0,1029.0
40.455626;-79.938154,2151.0,1257.0,66.0,6393.0,1359.0,66.0
40.455479;-79.938122,2167.0,1268.0,82.0,6409.0,1370.0,82.0
40.455609;-79.938101,2154.0,1259.0,69.0,6396.0,1361.0,69.0
40.455764;-79.938251,2133.0,1245.0,48.0,6375.0,1347.0,48.0
40.455617;-79.938111,2153.0,1259.0,68.0,6395.0,1361.0,68.0
40.455462;-79.938090,2167.0,1268.0,82.0,6409.0,1370.0,82.0
40.455470;-79.938101,2167.0,1268.0,82.0,6409.0,1370.0,82.0
40.455740;-79.938186,2138.0,1248.0,53.0,6380.0,1350.0,53.0
40.458850;-79.922372,3515.0,1202.0,123.0,8624.0,1690.0,222.0
40.582100;-79.781800,40360.0,6170.0,218.0,34704.0,4951.0,218.0
40.429000;-79.762300,23823.0,4716.0,1434.0,28348.0,4545.0,1434.0
40.475599;-79.923456,5326.0,1457.0,316.0,9962.0,2108.0,156.0
40.443959;-79.892492,5317.0,1076.0,317.0,11176.0,2165.0,317.0
40.443942;-79.892449,5316.0,1075.0,316.0,11175.0,2164.0,316.0
40.407189;-80.078874,18751.0,3048.0,1567.0,12012.0,2212.0,1567.0
40.307400;-79.542400,61487.0,19388.0,876.0,55526.0,4989.0,876.0
40.442293;-79.889960,5401.0,1029.0,268.0,11261.0,2118.0,268.0
40.474571;-80.066922,41166.0,4855.0,747.0,8678.0,1872.0,1009.0
40.474996;-79.920387,5033.0,1290.0,106.0,10534.0,2145.0,106.0
40.473542;-79.928756,4995.0,1720.0,858.0,9710.0,2164.0,255.0
40.473542;-79.928756,4995.0,1720.0,858.0,9710.0,2164.0,255.0
40.592100;-80.319700,51690.0,9294.0,2000.0,44969.0,7783.0,2000.0
40.671800;-80.291700,65414.0,9216.0,3314.0,59653.0,7617.0,3314.0
40.671800;-80.291700,65414.0,9216.0,3314.0,59653.0,7617.0,3314.0
40.671800;-80.291700,65414.0,9216.0,3314.0,59653.0,7617.0,3314.0
40.671800;-80.291700,65414.0,9216.0,3314.0,59653.0,7617.0,3314.0
40.671800;-80.291700,65414.0,9216.0,3314.0,59653.0,7617.0,3314.0
40.440742;-80.138268,31800.0,4552.0,1846.0,25061.0,3716.0,1846.0
40.671800;-80.291700,65414.0,9216.0,3314.0,59653.0,7617.0,3314.0
