,index,neighborhood,post title,number bedrooms,sqft,price,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,nearest_shuttle_stop,nearest_restaurants,restaurant_distance,total_rating
0,2, (Pittsburgh),3 BR- 3374 Parkview Ave,3,1540.0,1100,1284.0,398.0,234.0,4856.0,1044.0,74.0,"('Bigelow Blvd. at Forbess Avenue', 'BS', 5.610394320176541)","[('Bridges Restaurant', 2.6198702729160006, 2.5), ('Sichuan Gourmet', 3.4044725358869727, 4.0), ('Las Palmas', 3.4481396820662114, 4.5), ('Bangal Kabab House and Restaurant', 3.494970975862204, 4.0), ('Pgh Crepes', 3.5247001955981627, 3.5)]",3.29843073246591,9.7
1,1, (Oakland),Four bedroom Apartment Available August 1st!,4,500.0,2300,2158.0,814.0,682.0,5127.0,1499.0,803.0,"('Bigelow Blvd. at Forbess Avenue', 'BS', 4.600258010356194)","[('Mad Mex - Oakland', 0.7528992644081397, 3.5), ('The Original Gyro', 0.764208643064943, 4.0), ('Ocha Thai Noodle', 0.9057609479029439, 4.0), ('Panther House Bar & Grill', 1.106318838364735, 3.0), ('Korea Garden', 1.522416833941906, 3.5)]",1.0103209055365336,9.3
2,44, (5703 Hobart Street(SQUIRREL HILL) Just off Murray),"AUGUST,Convenient to CMU, RECENT Renovation, AC, Granite Kitchen",1,650.0,1189,2976.0,766.0,328.0,8836.0,1855.0,328.0,"('Beacon Street at Murray Avenue', 'BS', 7.268801027538952)","[('Chef Rabbi', 6.334365927736299, 5.0), ('New Dumpling And Sushi House', 6.490700775323696, 3.5), ('Tan Lac Vien', 6.935999708565228, 4.0), (""Aiello's Pizza"", 6.974196187536605, 4.0), ('Frankie Bunz', 7.122043833458553, 4.0)]",3.2309098133085676,9.3
3,31, (Oakland),One Bedroom Available 08/01,1,415.0,845,2144.0,801.0,668.0,5112.0,1486.0,788.0,"('Bigelow Blvd. at Forbess Avenue', 'BS', 6.108254357609334)","[(""Frenchi's Deli & Market"", 0.46517357440177537, 4.5), ('Beta Bites', 3.2853440241851652, 4.0), ('Mesa', 3.684096857238361, 4.0), ('Asia Tea House', 3.6966896546603243, 3.0), ('The Porch at Schenley', 4.305648126444156, 3.5)]",3.0873904473859564,9.3
4,21, (Squirrel Hill / Murry Ave @ Forward Ave),★Available NOW--AC--Hardwood Floors--Closet Space--Heat Incld!★,1,770.0,1295,3463.0,780.0,62.0,9322.0,1869.0,62.0,"('Beacon Street at Murray Avenue', 'BS', 5.554485992900438)","[('New Dumpling And Sushi House', 4.0942166093239045, 3.5), ('Tan Lac Vien', 4.70237149522346, 4.0), (""Mineo's Pizza House"", 4.703279667816005, 3.5), (""Aiello's Pizza"", 4.757894345253043, 4.0), ('Milky Way', 4.898024149208487, 3.5)]",4.63115725336498,9.2
5,45, (732 & 734 S. Millvale Avenue @ Baum Blvd (NORTH OAKLAND)),"AUGUST,Less than 1 mile Pitt/CMU,Hardwood Lam,New Kitchen",3,990.0,1699,1482.0,1182.0,1482.0,5751.0,1313.0,228.0,"('Centre Avenue at Devonshire Street', 'AB', 4.32477170683447)","[('Emiliano’s Mexican Restaurant & Bar', 1.7308457340587342, 3.5), (""Khalil's II"", 2.990185309375872, 4.5), ('Pad Thai Noodle', 3.7764407063430867, 4.5), (""Angelo's Pizzeria"", 3.8198189829652875, 4.0), (""Lombardozzi's Restaurant"", 3.8372583337998587, 3.0)]",7.054366972171996,9.2
6,10, (Shadyside / S. Aiken Ave @ Centre Ave),★Available NOW--All Utilities Included!--AC--HW Floors--Pet Friendly★,1,720.0,1260,2167.0,1268.0,82.0,6409.0,1370.0,82.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.9587869685156705)","[('Selamis Turkish Kebab House', 6.502237966253279, 4.5), ('BFG Café', 6.573698375170169, 4.0), ('Nak Won Garden', 6.9130314873021295, 3.5), ('Spork Pit', 8.74134868934774, 3.5), ('Friendship Perk and Brew', 10.817942004828751, 4.5)]",7.909651704580414,9.1
7,11, (Shadyside / S. Aiken Ave @ Centre Ave),★ALL Utils Incld--Available August 1--Near Shopping--AC--Pet Friendly★,1,720.0,1260,2138.0,1248.0,53.0,6380.0,1350.0,53.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.615780750350426)","[('BFG Café', 6.512806724434608, 4.0), ('Selamis Turkish Kebab House', 6.8038383388575845, 4.5), ('Nak Won Garden', 7.222341848128505, 3.5), ('Spork Pit', 8.84202000744268, 3.5), ('Friendship Perk and Brew', 10.445009040061697, 4.5)]",7.965203191785015,9.1
8,9, (Shadyside / S. Aiken Ave @ Centre Ave),★Available August 1--Shopping Nearby--AC--ALL Utils Incld!--HW Floors★,1,720.0,1260,2167.0,1268.0,82.0,6409.0,1370.0,82.0,"('Centre Avenue at South Aiken Avenue', 'A', 2.0014903583595665)","[('Selamis Turkish Kebab House', 6.461099233245853, 4.5), ('BFG Café', 6.565817619433308, 4.0), ('Nak Won Garden', 6.871491472877028, 3.5), ('Spork Pit', 8.716189138753085, 3.5), ('Friendship Perk and Brew', 10.858833969229886, 4.5)]",7.894686286707833,9.1
9,8, (Shadyside / S. Aiken Ave @ Centre Ave),★ALL Utilities Included!--Pet Friendly--AC--HW Floors--Avail August 1★,1,720.0,1365,2153.0,1259.0,68.0,6395.0,1361.0,68.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.9096247210038386)","[('BFG Café', 6.491929438448566, 4.0), ('Selamis Turkish Kebab House', 6.526938181953765, 4.5), ('Nak Won Garden', 6.9415192106375265, 3.5), ('Spork Pit', 8.69654762951238, 3.5), ('Friendship Perk and Brew', 10.742741093232745, 4.5)]",7.879935110756998,9.1
