name,display_phone,rating,price,categories,long,lat,location.display_address
Meat & Potatoes,(412) 325-7007,4.0,$$$,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",-80.0011037907791,40.4431445862832,"['649 Penn Ave', 'Pittsburgh, PA 15222']"
täkō,(412) 471-8256,4.5,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'mexican', 'title': 'Mexican'}]",-80.0019846968895,40.4422285652929,"['214 6th St', 'Pittsburgh, PA 15222']"
Gaucho Parrilla Argentina,(412) 709-6622,4.5,$$,"[{'alias': 'argentine', 'title': 'Argentine'}]",-79.987573,40.449043,"['1601 Penn Ave', 'Pittsburgh, PA 15222']"
Butcher and the Rye,(412) 391-2752,4.5,$$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'butcher', 'title': 'Butcher'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",-80.002066,40.442334,"['212 6th St', 'Pittsburgh, PA 15222']"
Vue 412,(412) 381-1919,3.5,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}]",-80.01817,40.43798,"['1200 Grandview Ave', 'Pittsburgh, PA 15211']"
DiAnoia's Eatery,(412) 918-1875,4.5,$$,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",-79.97874,40.455,"['2549 Penn Ave', 'Pittsburgh, PA 15222']"
The Forge,(412) 408-3322,4.5,,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",-79.9675715,40.4625516,"['3345 Penn Ave', 'Pittsburgh, PA 15201']"
Smallman Galley,(412) 517-6100,4.5,$$,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",-79.9837408,40.4521777,"['54 21st St', 'Pittsburgh, PA 15222']"
Kiin Lao & Thai Eatery,(412) 521-0728,4.5,$$,"[{'alias': 'laotian', 'title': 'Laotian'}, {'alias': 'thai', 'title': 'Thai'}]",-79.92117,40.43776,"['5846 Forbes Ave', 'Pittsburgh, PA 15217']"
Morcilla,(412) 652-9924,4.5,$$$,"[{'alias': 'spanish', 'title': 'Spanish'}]",-79.9661576054382,40.4645572158093,"['3519 Butler St', 'Pittsburgh, PA 15201']"
Cinderlands Foederhouse,(412) 251-0656,4.5,$$,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'newamerican', 'title': 'American (New)'}]",-79.96484,40.46652,"['3705 Butler St', 'Pittsburgh, PA 15201']"
Tocayo Taqueria & Tequila,(412) 251-5695,4.5,$$,"[{'alias': 'tacos', 'title': 'Tacos'}]",-79.93223,40.45122,"['810 Ivy St', 'Pittsburgh, PA 15232']"
Poulet Bleu,(412) 325-3435,4.5,$$$,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",-79.966263,40.464462,"['3517 Butler St', 'Pittsburgh, PA 15201']"
Noodlehead,,4.5,$,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",-79.925491,40.457748,"['242 S Highland Ave', 'Pittsburgh, PA 15206']"
Proper Brick Oven & Tap Room,(412) 281-5700,4.5,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]",-80.0003448,40.4435995,"['139 7th St', 'Pittsburgh, PA 15222']"
Butterjoint,(412) 621-2700,4.0,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",-79.9507371864515,40.4499759734743,"['214 N Craig St', 'Pittsburgh, PA 15213']"
Alla Famiglia,(412) 488-1440,4.5,$$$$,"[{'alias': 'italian', 'title': 'Italian'}]",-79.99346,40.42161,"['804 E Warrington Ave', 'Pittsburgh, PA 15210']"
Union Grill,(412) 681-8620,4.0,$$,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",-79.94842,40.44482,"['413 S Craig St', 'Pittsburgh, PA 15213']"
Altius,(412) 904-4442,4.5,$$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'bars', 'title': 'Bars'}]",-80.019299,40.438556,"['1230 Grandview Ave', 'Pittsburgh, PA 15211']"
Kaya,(412) 261-6565,4.0,$$,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'bars', 'title': 'Bars'}]",-79.98424,40.45167,"['2000 Smallman St', 'Pittsburgh, PA 15222']"
Cinderlands Warehouse,(412) 209-1575,4.0,$$,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",-79.97927,40.45591,"['2601 Smallman St', 'Pittsburgh, PA 15222']"
Siempre Algo,(412) 652-9968,5.0,$$$,"[{'alias': 'newamerican', 'title': 'American (New)'}]",-80.00103,40.4535,"['414 E Ohio St', 'Pittsburgh, PA 15212']"
Muddy Waters Oyster Bar,(412) 361-0555,4.5,$$,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]",-79.925226,40.4602070145253,"['130 S Highland Ave', 'Pittsburgh, PA 15206']"
Two Sisters,(412) 404-2760,4.5,$$,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",-79.92396,40.46291,"['216 N Highland Ave', 'Pittsburgh, PA 15206']"
Sienna Mercato,(412) 281-2810,4.0,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]",-79.9964366,40.4439496,"['942 Penn Ave', 'Pittsburgh, PA 15222']"
Hofbrauhaus Pittsburgh,(412) 224-2328,4.0,$$,"[{'alias': 'german', 'title': 'German'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'bars', 'title': 'Bars'}]",-79.964499,40.428768,"['2705 S Water St', 'Pittsburgh, PA 15203']"
Bridges & Bourbon,(412) 586-4287,4.0,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",-79.99687,40.44388,"['930 Penn Ave', 'Pittsburgh, PA 15222']"
Bae Bae's Kitchen,(412) 391-1890,4.5,$$,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'salad', 'title': 'Salad'}]",-79.996195,40.443682,"['951 Liberty Ave', 'Pittsburgh, PA 15222']"
Totopo Mexican Kitchen and Bar,(412) 668-0773,4.5,$$,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}]",-80.0445051301809,40.380953114953,"['660 Washington Rd', 'Pittsburgh, PA 15228']"
Point Brugge Café,(412) 441-3334,4.5,$$,"[{'alias': 'belgian', 'title': 'Belgian'}]",-79.91385,40.45003,"['401 Hastings St', 'Pittsburgh, PA 15206']"
Shiloh Grill,(412) 431-4000,4.0,$$,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",-80.00697,40.43089,"['123 Shiloh St', 'Pittsburgh, PA 15211']"
The Urban Tap,(412) 586-7499,4.0,$$,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",-79.98594,40.42895,"['1209 E Carson St', 'Pittsburgh, PA 15203']"
Bar Botanico,(412) 258-4790,4.5,,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",-79.960157,40.471392,"['4325 Butler St', 'Pittsburgh, PA 15201']"
Soju,(412) 956-7699,4.5,$$,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",-79.94431,40.46536,"['4923 Penn Ave', 'Pittsburgh, PA 15224']"
Girasole Restaurant,(412) 682-2130,4.0,$$,"[{'alias': 'italian', 'title': 'Italian'}]",-79.93462,40.45121,"['733 Copeland St', 'Pittsburgh, PA 15232']"
Dish Osteria and Bar,(412) 390-2012,4.5,$$$,"[{'alias': 'italian', 'title': 'Italian'}]",-79.9823684692383,40.4275054931641,"['128 S 17th St', 'Pittsburgh, PA 15203']"
Eleven,(412) 201-5656,4.0,$$$,"[{'alias': 'newamerican', 'title': 'American (New)'}]",-79.99325,40.44602,"['1150 Smallman St', 'Pittsburgh, PA 15222']"
Umami,(412) 224-2354,4.5,$$,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bars', 'title': 'Bars'}]",-79.96419,40.46664,"['202 38th St', '(Above Round Corner Cantina)', 'Pittsburgh, PA 15201']"
Nicky's Thai Kitchen,(412) 471-8424,4.0,$$,"[{'alias': 'thai', 'title': 'Thai'}]",-79.998256,40.443983,"['903 Penn Ave', 'Pittsburgh, PA 15222']"
The Commoner,(412) 230-4800,4.0,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",-79.996189,40.4413608,"['620 William Penn Pl', 'Pittsburgh, PA 15219']"
Acorn Pittsburgh,(412) 530-5950,4.5,$$$,"[{'alias': 'newamerican', 'title': 'American (New)'}]",-79.93259,40.45129,"['5528 Walnut St', 'Pittsburgh, PA 15232']"
The Cheesecake Factory,(412) 431-7800,3.5,$$,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",-79.96528,40.42822,"['415 S 27th St', 'Pittsburgh, PA 15203']"
Piccolo Forno,(412) 622-0111,4.0,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",-79.96444,40.46709,"['3801 Butler St', 'Pittsburgh, PA 15201']"
Night Market Gourmet,(412) 436-0068,4.5,,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}]",-79.95815,40.441257,"['114 Atwood St', 'Pittsburgh, PA 15213']"
Driftwood Oven,(412) 251-0253,4.5,$$,"[{'alias': 'pizza', 'title': 'Pizza'}]",-79.9652774,40.4658865,"['3615 Butler St', 'Pittsburgh, PA 15201']"
