,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,JLbgvGM4FXh9zNP4O5ZWjQ,meat-and-potatoes-pittsburgh,Meat & Potatoes,https://s3-media4.fl.yelpcdn.com/bphoto/Rc_WMhLcgKSAJnsitlJj1g/o.jpg,False,https://www.yelp.com/biz/meat-and-potatoes-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,2020,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"['restaurant_reservation', 'delivery']",$$$,+14123257007,(412) 325-7007,1870.1784637351072,40.4431445862832,-80.0011037907791,649 Penn Ave,,,Pittsburgh,15222,US,PA,"['649 Penn Ave', 'Pittsburgh, PA 15222']"
1,woXlprCuowrLJswWere3TQ,täkō-pittsburgh,täkō,https://s3-media1.fl.yelpcdn.com/bphoto/W2J52omHmHj54VA4aZffZw/o.jpg,False,https://www.yelp.com/biz/t%C3%A4k%C5%8D-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,1510,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,['restaurant_reservation'],$$,+14124718256,(412) 471-8256,1955.9825424877417,40.4422285652929,-80.0019846968895,214 6th St,,,Pittsburgh,15222,US,PA,"['214 6th St', 'Pittsburgh, PA 15222']"
2,u4sTiCzVeIHZY8OlaL346Q,gaucho-parrilla-argentina-pittsburgh,Gaucho Parrilla Argentina,https://s3-media1.fl.yelpcdn.com/bphoto/0woHq0-scWyfG5HlB05AHw/o.jpg,False,https://www.yelp.com/biz/gaucho-parrilla-argentina-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,1975,"[{'alias': 'argentine', 'title': 'Argentine'}]",4.5,['delivery'],$$,+14127096622,(412) 709-6622,866.3875049364033,40.449043,-79.987573,1601 Penn Ave,,,Pittsburgh,15222,US,PA,"['1601 Penn Ave', 'Pittsburgh, PA 15222']"
3,SmkYLXEYhzwUZdS6TAevHg,butcher-and-the-rye-pittsburgh,Butcher and the Rye,https://s3-media4.fl.yelpcdn.com/bphoto/4Af9UMv9J1FyfOM6qgwlEQ/o.jpg,False,https://www.yelp.com/biz/butcher-and-the-rye-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,994,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'butcher', 'title': 'Butcher'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['restaurant_reservation', 'delivery']",$$$,+14123912752,(412) 391-2752,1961.204843931838,40.442334,-80.002066,212 6th St,,,Pittsburgh,15222,US,PA,"['212 6th St', 'Pittsburgh, PA 15222']"
4,hF1-dtY_oXfngC8h2mY4qg,vue-412-pittsburgh,Vue 412,https://s3-media1.fl.yelpcdn.com/bphoto/6mqaKc552J_0HZA-S8B_lg/o.jpg,False,https://www.yelp.com/biz/vue-412-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,446,"[{'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"['restaurant_reservation', 'delivery', 'pickup']",$$,+14123811919,(412) 381-1919,3393.099910374388,40.43798,-80.01817,1200 Grandview Ave,,,Pittsburgh,15211,US,PA,"['1200 Grandview Ave', 'Pittsburgh, PA 15211']"
5,BcLFIr4wtd3GQ3fnz15yDQ,dianoias-eatery-pittsburgh-2,DiAnoia's Eatery,https://s3-media3.fl.yelpcdn.com/bphoto/MiW9UrUI2Hc_0hiz3jYnyw/o.jpg,False,https://www.yelp.com/biz/dianoias-eatery-pittsburgh-2?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,654,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['delivery', 'pickup']",$$,+14129181875,(412) 918-1875,1143.0133130087,40.455,-79.97874,2549 Penn Ave,,,Pittsburgh,15222,US,PA,"['2549 Penn Ave', 'Pittsburgh, PA 15222']"
6,MKYcOZSpMwJK7uwacK13EA,smallman-galley-pittsburgh-2,Smallman Galley,https://s3-media4.fl.yelpcdn.com/bphoto/4P-bhDZSLq1r1szjGdsC6Q/o.jpg,False,https://www.yelp.com/biz/smallman-galley-pittsburgh-2?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,587,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,['delivery'],$$,+14125176100,(412) 517-6100,922.3237930279802,40.4521777,-79.9837408,54 21st St,,,Pittsburgh,15222,US,PA,"['54 21st St', 'Pittsburgh, PA 15222']"
7,j3YEV0H16fRaSiKh-ne00g,kiin-lao-and-thai-eatery-pittsburgh,Kiin Lao & Thai Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/SkCkPIQAcbgsZLpu7-EVtg/o.jpg,False,https://www.yelp.com/biz/kiin-lao-and-thai-eatery-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,44,"[{'alias': 'laotian', 'title': 'Laotian'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,[],$$,+14125210728,(412) 521-0728,4965.472227299863,40.43776,-79.92117,5846 Forbes Ave,,,Pittsburgh,15217,US,PA,"['5846 Forbes Ave', 'Pittsburgh, PA 15217']"
8,sdh27i5q0EcAKagBDNQw3A,poulet-bleu-pittsburgh,Poulet Bleu,https://s3-media3.fl.yelpcdn.com/bphoto/VhriqqOkwsYV0MxLki6ubg/o.jpg,False,https://www.yelp.com/biz/poulet-bleu-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,251,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"['restaurant_reservation', 'delivery']",$$$,+14123253435,(412) 325-3435,2468.0549451966194,40.464581,-79.9661945,3517 Butler St,,,Pittsburgh,15201,US,PA,"['3517 Butler St', 'Pittsburgh, PA 15201']"
9,7z2x16M7IuG8KPfMsyVrKA,morcilla-pittsburgh,Morcilla,https://s3-media3.fl.yelpcdn.com/bphoto/LEYhV31hS6hbsyNyfM-JQg/o.jpg,False,https://www.yelp.com/biz/morcilla-pittsburgh?adjust_creative=HFFMmboj5I-9eAq-_1sRmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HFFMmboj5I-9eAq-_1sRmw,311,"[{'alias': 'spanish', 'title': 'Spanish'}]",4.5,['delivery'],$$$,+14126529924,(412) 652-9924,2467.0668919050945,40.4645572158093,-79.9661576054382,3519 Butler St,,,Pittsburgh,15201,US,PA,"['3519 Butler St', 'Pittsburgh, PA 15201']"
